Date,Year,Month,Day,Quarter,Week,DayOfWeek,DayName,MonthName,IsWeekend
2021-04-05 06:29:29.604034,2021,4,5,2,14,0,Monday,April,False
2021-04-06 06:29:29.604034,2021,4,6,2,14,1,Tuesday,April,False
2021-04-07 06:29:29.604034,2021,4,7,2,14,2,Wednesday,April,False
2021-04-08 06:29:29.604034,2021,4,8,2,14,3,Thursday,April,False
2021-04-09 06:29:29.604034,2021,4,9,2,14,4,Friday,April,False
2021-04-10 06:29:29.604034,2021,4,10,2,14,5,Saturday,April,True
2021-04-11 06:29:29.604034,2021,4,11,2,14,6,Sunday,April,True
2021-04-12 06:29:29.604034,2021,4,12,2,15,0,Monday,April,False
2021-04-13 06:29:29.604034,2021,4,13,2,15,1,Tuesday,April,False
2021-04-14 06:29:29.604034,2021,4,14,2,15,2,Wednesday,April,False
2021-04-15 06:29:29.604034,2021,4,15,2,15,3,Thursday,April,False
2021-04-16 06:29:29.604034,2021,4,16,2,15,4,Friday,April,False
2021-04-17 06:29:29.604034,2021,4,17,2,15,5,Saturday,April,True
2021-04-18 06:29:29.604034,2021,4,18,2,15,6,Sunday,April,True
2021-04-19 06:29:29.604034,2021,4,19,2,16,0,Monday,April,False
2021-04-20 06:29:29.604034,2021,4,20,2,16,1,Tuesday,April,False
2021-04-21 06:29:29.604034,2021,4,21,2,16,2,Wednesday,April,False
2021-04-22 06:29:29.604034,2021,4,22,2,16,3,Thursday,April,False
2021-04-23 06:29:29.604034,2021,4,23,2,16,4,Friday,April,False
2021-04-24 06:29:29.604034,2021,4,24,2,16,5,Saturday,April,True
2021-04-25 06:29:29.604034,2021,4,25,2,16,6,Sunday,April,True
2021-04-26 06:29:29.604034,2021,4,26,2,17,0,Monday,April,False
2021-04-27 06:29:29.604034,2021,4,27,2,17,1,Tuesday,April,False
2021-04-28 06:29:29.604034,2021,4,28,2,17,2,Wednesday,April,False
2021-04-29 06:29:29.604034,2021,4,29,2,17,3,Thursday,April,False
2021-04-30 06:29:29.604034,2021,4,30,2,17,4,Friday,April,False
2021-05-01 06:29:29.604034,2021,5,1,2,17,5,Saturday,May,True
2021-05-02 06:29:29.604034,2021,5,2,2,17,6,Sunday,May,True
2021-05-03 06:29:29.604034,2021,5,3,2,18,0,Monday,May,False
2021-05-04 06:29:29.604034,2021,5,4,2,18,1,Tuesday,May,False
2021-05-05 06:29:29.604034,2021,5,5,2,18,2,Wednesday,May,False
2021-05-06 06:29:29.604034,2021,5,6,2,18,3,Thursday,May,False
2021-05-07 06:29:29.604034,2021,5,7,2,18,4,Friday,May,False
2021-05-08 06:29:29.604034,2021,5,8,2,18,5,Saturday,May,True
2021-05-09 06:29:29.604034,2021,5,9,2,18,6,Sunday,May,True
2021-05-10 06:29:29.604034,2021,5,10,2,19,0,Monday,May,False
2021-05-11 06:29:29.604034,2021,5,11,2,19,1,Tuesday,May,False
2021-05-12 06:29:29.604034,2021,5,12,2,19,2,Wednesday,May,False
2021-05-13 06:29:29.604034,2021,5,13,2,19,3,Thursday,May,False
2021-05-14 06:29:29.604034,2021,5,14,2,19,4,Friday,May,False
2021-05-15 06:29:29.604034,2021,5,15,2,19,5,Saturday,May,True
2021-05-16 06:29:29.604034,2021,5,16,2,19,6,Sunday,May,True
2021-05-17 06:29:29.604034,2021,5,17,2,20,0,Monday,May,False
2021-05-18 06:29:29.604034,2021,5,18,2,20,1,Tuesday,May,False
2021-05-19 06:29:29.604034,2021,5,19,2,20,2,Wednesday,May,False
2021-05-20 06:29:29.604034,2021,5,20,2,20,3,Thursday,May,False
2021-05-21 06:29:29.604034,2021,5,21,2,20,4,Friday,May,False
2021-05-22 06:29:29.604034,2021,5,22,2,20,5,Saturday,May,True
2021-05-23 06:29:29.604034,2021,5,23,2,20,6,Sunday,May,True
2021-05-24 06:29:29.604034,2021,5,24,2,21,0,Monday,May,False
2021-05-25 06:29:29.604034,2021,5,25,2,21,1,Tuesday,May,False
2021-05-26 06:29:29.604034,2021,5,26,2,21,2,Wednesday,May,False
2021-05-27 06:29:29.604034,2021,5,27,2,21,3,Thursday,May,False
2021-05-28 06:29:29.604034,2021,5,28,2,21,4,Friday,May,False
2021-05-29 06:29:29.604034,2021,5,29,2,21,5,Saturday,May,True
2021-05-30 06:29:29.604034,2021,5,30,2,21,6,Sunday,May,True
2021-05-31 06:29:29.604034,2021,5,31,2,22,0,Monday,May,False
2021-06-01 06:29:29.604034,2021,6,1,2,22,1,Tuesday,June,False
2021-06-02 06:29:29.604034,2021,6,2,2,22,2,Wednesday,June,False
